root,form,fv,class,deixis,tam,gloss
mɛð,kə̀-mɛ̀ð-ɔ́,aɔ,g,ventive,perfective,plait
mɛð,lə̀-mɛ̀ð-ɔ́,aɔ,l,ventive,perfective,plait
waj,wáj-í,ai,unmarked,itive,imperative,wash
ib,ìb-ɔ́,ɔi,unmarked,ventive,imperative,marry
vəlɛð,və́lɛ́ð-ɔ́,aɔ,unmarked,itive,imperative,pull
vəlɛð,və̀lɛ̀ð-á,aɔ,unmarked,ventive,imperative,pull
kəlc,kə́lc-í,ai,unmarked,itive,imperative,spread
kəlc,kə̀lc-á,ai,unmarked,ventive,imperative,spread
ud̪,l-à-úd̪-ɛ̀,ɔɔ,l,itive,perfective,kindle
t̪ɔt̪,l-à-t̪ɔ́t̪-ɛ̀,aɔ,l,itive,perfective,throw
ap,l-à-áp-ɛ̀,aɔ,l,itive,perfective,carry
aɾð,r-àɾð-ɔ́,aɔ,r,ventive,perfective,shave
vɜɽ,ŋ-á-vɔ́ɽ-ɔ̀,ɔi,ŋ,itive,imperfective,return (transitive)
ɾac,ɲ-á-ɾác-à,ai,ɲ,itive,imperfective,pour
waj,t̪-á-wàj-í,ai,t̪,ventive,imperfective,wash
ɟið,ð-á-ɟìð-í,ɔi,ð,ventive,imperfective,milk
