form,class,deixis,tam
mɛð-á,unmarked,ventive,imperative
mɛð-ɔ́,unmarked,itive,imperative
rə̀-mɛð-à,r,ventive,dependent
rə̀-mɛð-ɔ́,r,ventive,perfective
rə̀-mɛð-ɛ̀,r,itive,dependent
r-à-mɛð-ɛ̀,r,itive,perfective
r-á-mɛð-à,r,itive,imperfective
r-á-mɛð-ɔ́,r,ventive,imperfective
lə̀-mɛð-à,l,ventive,dependent
lə̀-mɛð-ɔ́,l,ventive,perfective
lə̀-mɛð-ɛ̀,l,itive,dependent
l-à-mɛð-ɛ̀,l,itive,perfective
l-á-mɛð-à,l,itive,imperfective
l-á-mɛð-ɔ́,l,ventive,imperfective
ŋə̀-mɛð-à,ŋ,ventive,dependent
ŋə̀-mɛð-ɔ́,ŋ,ventive,perfective
ŋə̀-mɛð-ɛ̀,ŋ,itive,dependent
ŋ-à-mɛð-ɛ̀,ŋ,itive,perfective
ŋ-á-mɛð-à,ŋ,itive,imperfective
ŋ-á-mɛð-ɔ́,ŋ,ventive,imperfective
ɲə̀-mɛð-à,ɲ,ventive,dependent
ɲə̀-mɛð-ɔ́,ɲ,ventive,perfective
ɲə̀-mɛð-ɛ̀,ɲ,itive,dependent
ɲ-à-mɛð-ɛ̀,ɲ,itive,perfective
ɲ-á-mɛð-à,ɲ,itive,imperfective
ɲ-á-mɛð-ɔ́,ɲ,ventive,imperfective
nə̀-mɛð-à,n,ventive,dependent
nə̀-mɛð-ɔ́,n,ventive,perfective
nə̀-mɛð-ɛ̀,n,itive,dependent
n-à-mɛð-ɛ̀,n,itive,perfective
n-á-mɛð-à,n,itive,imperfective
n-á-mɛð-ɔ́,n,ventive,imperfective
jə̀-mɛð-à,j,ventive,dependent
jə̀-mɛð-ɔ́,j,ventive,perfective
jə̀-mɛð-ɛ̀,j,itive,dependent
j-à-mɛð-ɛ̀,j,itive,perfective
j-á-mɛð-à,j,itive,imperfective
j-á-mɛð-ɔ́,j,ventive,imperfective
ðə̀-mɛð-à,ð,ventive,dependent
ðə̀-mɛð-ɔ́,ð,ventive,perfective
ðə̀-mɛð-ɛ̀,ð,itive,dependent
ðə́-mɛð-á,ð,unmarked,infinitive
ð-à-mɛð-ɛ̀,ð,itive,perfective
ð-á-mɛð-à,ð,itive,imperfective
ð-á-mɛð-ɔ́,ð,ventive,imperfective
gə̀-mɛð-à,g,ventive,dependent
gə̀-mɛð-ɔ́,g,ventive,perfective
gə̀-mɛð-ɛ̀,g,itive,dependent
g-à-mɛð-ɛ̀,g,itive,perfective
